"Latitude","Longitude","Fitness","Delta_t","Total.zebras","Population"
0.506908785,36.84485621,0.0170572718992392,129.302172861099,4,1.33333333333333
0.501219762,36.85362203,0.0342212577686947,129.118839527766,8,2.66666666666667
0.501219762,36.85362203,0.0171106288843474,129.118839527766,4,1.33333333333333
0.4996549,36.85290731,0.0428373430093077,129.035506194433,10,3.33333333333333
0.469275261,36.85893522,0.0185779987931289,107.402172861099,3,1
0.481999607,36.86130672,0.0496398917738237,107.285506194433,8,2.66666666666667
0.494588851,36.85550559,0.0498093110354984,107.085506194433,8,2.66666666666667
0.499494302,36.85235698,0.0499367548322491,106.935506194433,8,2.66666666666667
0.502229636,36.84822441,0.0499793085193489,106.885506194433,8,2.66666666666667
0.494827,36.84305705,0.119072166811237,106.702172861099,19,6.33333333333333
0.494827,36.84305705,0.0376017368877592,106.702172861099,6,2
