"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/8/21","4","DSCN4698",3,1045,0.484216661,36.87792511,"CC",NA,"no sun","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","","","medium",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calves",0.003942567,"Cattle",2021,7,8,10,45,"","",NA,2,263723.5034,53856.46382,"OG","OG","OG",9.77757280022714e-07,1.07898745858111e-06,0.31732052564621,0.364813451153657,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT136",91.0049888342792
"7/8/21","4","DSCN4699",2,1111,0.491916377,36.87017504,"CC",NA,"no sun","no wind","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Cenchrus ciliaris","Pennisetum mezzianum","medium",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tower Area",0.001294579,"Cattle",2021,7,8,11,11,"","",NA,4,262860.8204,54708.377,"LB","LB","LB",4.90268719468972e-08,5.27539488211823e-08,0.295201778411865,0.543211320313414,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT137",111.803398874989
"7/8/21","4","DSCN4699",3,1115,0.49391517,36.87102856,"CC",NA,"no sun","no wind","no rain","Grazing","","brown with some green","Cenchrus ciliaris","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","medium",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000143969,"Cattle",2021,7,8,11,15,"","",NA,4,262955.9293,54929.42649,"OG","OG","OG",4.13324469851915e-08,7.28506010018127e-08,0.29075425863266,0.533006244424621,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT138",43.0351707065885
"7/8/21","4","DSCN4700",1,1119,0.495530925,36.87620438,"CC",NA,"no sun","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Microchloa kunthii","","","light",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso Nyino River",0.000313214,"Cattle",2021,7,8,11,19,"","",NA,2,263532.303,55107.95389,"OG","OG","OG",4.40262812054598e-08,5.34985873730976e-08,0.312078803777695,0.567496229260935,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT139",76.2199122231922
"7/9/21","1","DSCN3012",1,1023,0.436845257,36.84707936,"CKC",NA,"no sun","light","no rain","Walking","hock","","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon plectostachyus","","light",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00893982,"Cattle",2021,7,9,10,23,"","",NA,3,260287.2735,48617.87433,"LB","LB","MB",2.04408530498015e-08,7.50569113866777e-08,0.386811316013336,0.760125659149557,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT140",292.201123927589
"7/9/21","1","DSCN3013",2,1131,0.473247716,36.84119212,"CC",NA,"part","light","no rain","Grazing","belly","brown","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","medium",NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilimotiok cattle, Ngaramata Dam",0.002778934,"Cattle",2021,7,9,11,31,"","",NA,4,259632.9378,52644.5,"OG","OG","OG",6.06849039282673e-06,6.63422574252068e-06,0.281387835741043,0.554525437478271,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT141",449.873060152279
"7/9/21","1","DSCN3013",3,1135,0.465797366,36.83686568,"CC",NA,"part","light","no rain","Grazing","belly","brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Digitaria macroblefara","medium",NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilimotiok cattle",0.006797605,"Cattle",2021,7,9,11,35,"","",NA,4,259150.9293,51820.57351,"MB","MB","MB",2.73883342120236e-06,2.7981930557756e-06,0.28186047077179,0.793817133874771,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT142",339.660084935979
"7/9/21","1","DSCN3014",1,1139,0.464131042,36.8362269,"CC",NA,"part","light","no rain","Grazing","belly","brown","Cenchrus ciliaris","Cynodon plectostachyus","Pennisetum mezzianum","Digitaria macroblefara","medium",NA,NA,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilimotiok cattle",0.007277586,"Cattle",2021,7,9,11,39,"","",NA,4,259079.7433,51636.2846,"OG","OG","OG",4.38764420181696e-06,4.4358569205143e-06,0.29350808262825,0.565871430250323,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT143",875.915478637633
"7/9/21","1","DSCN3014",2,1143,0.460321638,36.8341451,"CC",NA,"part","light","no rain","Grazing","belly","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","medium",NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilimotiok cattle",0.008519267,"Cattle",2021,7,9,11,43,"","",NA,4,258847.8038,51215,"OG","OG","OG",2.63492677508569e-08,6.96995818684261e-08,0.296339333057404,0.606709493219129,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT144",647.485446100161
"7/9/21","1","DSCN3014",3,1205,0.463505803,36.84835318,"CC",NA,"part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","medium",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leki'j'I cattle",0.003179087,"Cattle",2021,7,9,12,5,"","",NA,3,260429.9901,51566.71334,"OG","OG","OG",7.55652582220433e-08,1.93996377087715e-07,0.350711941719055,0.286025654768285,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT145",111.803398874989
"7/9/21","2","DSCN3016",2,1314,0.485941792,36.86153774,"CC",NA,"full","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","light",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calves",0.005920868,"Cattle",2021,7,9,13,14,"","",NA,3,261898.8587,54047.85298,"OG","OG","OG",5.82337493599865e-07,6.81179517545067e-07,0.267149060964584,0.626867698994838,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT146",87.3885189073182
"7/9/21","2","DSCN3016",3,1320,0.502470174,36.84686103,"MC",NA,"full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","","light",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso-Narok River",0.000242674,"Cattle",2021,7,9,13,20,"","",NA,3,260265.213,55876.55484,"LB","LB","LB",3.62501326925351e-08,7.75562941638036e-08,0.309495896100998,0.573850668405608,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT147",407.001515877753
