"Latitude","Longitude","Total.animals","Date","Species","Population"
0.482643787,36.86114748,180,2021-07-06,"CKC",2.6209160282007
0.498776125,36.84671863,140,2021-07-06,"MC",2.17067475134802
0.470336028,36.85408276,30,2021-07-06,"CC",0.683659210233974
0.493674376,36.85514689,80,2021-07-07,"CKC",1.4266459839497
0.496736443,36.85662182,120,2021-07-07,"CC",1.93368025430833
0.499174665,36.85877766,300,2021-07-07,"CC",3.84449826261561
0.519234796,36.86671878,40,2021-07-07,"CC",0.848288777351521
0.490423538,36.87880108,12,2021-07-07,"CC",0.343862378183533
0.482597771,36.88085012,14,2021-07-07,"CC",0.386006621621354
0.478719746,36.87854051,12,2021-07-07,"CC",0.343862378183533
0.476956635,36.87675525,15,2021-07-07,"CC",0.406506198523692
0.47368597,36.86930224,18,2021-07-07,"CC",0.466072100839031
0.469980924,36.85995438,80,2021-07-07,"CC",1.4266459839497
0.457933935,36.93196215,215,2021-07-08,"CC",2.99452244672721
0.484765526,36.8401595,200,2021-07-08,"CC",2.83642447837066
0.490469768,36.85673158,25,2021-07-08,"CC",0.596284793999944
0.499510122,36.86458963,30,2021-07-08,"CC",0.683659210233974
0.514463296,36.86197251,31,2021-07-08,"CC",0.700680446926169
0.521798146,36.86483793,4,2021-07-08,"CC",0.15084944665313
0.525264911,36.86892037,11,2021-07-08,"CC",0.322138952241986
0.512605444,36.85593975,28,2021-07-08,"CC",0.649183168771187
0.479217961,36.87854374,41,2021-07-08,"CC",0.864144998096032
0.47981318,36.87978955,3,2021-07-08,"CC",0.121573709704255
0.482876351,36.88414219,21,2021-07-08,"CC",0.523194535055584
0.484216661,36.87792511,19,2021-07-08,"CC",0.485359940449489
0.491916377,36.87017504,25,2021-07-08,"CC",0.596284793999944
0.49391517,36.87102856,7,2021-07-08,"CC",0.229520910435139
0.495530925,36.87620438,15,2021-07-08,"CC",0.406506198523692
0.436845257,36.84707936,90,2021-07-09,"CKC",1.55840599428047
0.473247716,36.84119212,160,2021-07-09,"CC",2.39932298747882
0.465797366,36.83686568,110,2021-07-09,"CC",1.81152045299189
0.464131042,36.8362269,389,2021-07-09,"CC",4.67154921940071
0.460321638,36.8341451,260,2021-07-09,"CC",3.45325571253419
0.463505803,36.84835318,25,2021-07-09,"CC",0.596284793999944
0.485941792,36.86153774,18,2021-07-09,"CC",0.466072100839031
0.502470174,36.84686103,140,2021-07-09,"MC",2.17067475134802
0.459284446,36.85011339,120,2021-07-12,"CC",1.93368025430833
0.471407305,36.85372556,80,2021-07-12,"CC",1.4266459839497
0.522638793,36.86388893,3,2021-07-12,"CC",0.121573709704255
0.525313623,36.86899298,28,2021-07-12,"CC",0.649183168771187
0.505600542,36.86851077,24,2021-07-12,"CC",0.578305282310301
0.513452185,36.86109093,25,2021-07-12,"CC",0.596284793999944
0.518988284,36.86441807,7,2021-07-12,"CC",0.229520910435139
0.486295221,36.88833006,15,2021-07-12,"CC",0.406506198523692
0.45227547,36.84224913,200,2021-07-13,"CC",2.83642447837066
0.456585522,36.84157246,170,2021-07-13,"CC",2.51093470278575
0.483276692,36.84277141,120,2021-07-13,"CC",1.93368025430833
0.462667422,36.83411335,100,2021-07-13,"CC",1.68654808542314
0.463730487,36.83402867,250,2021-07-13,"CC",3.35315581248783
0.477505537,36.84762201,170,2021-07-13,"CC",2.51093470278575
0.508598407,36.85442276,35,2021-07-14,"CC",0.767449418214304
0.521929203,36.86185218,45,2021-07-14,"CC",0.926633748230615
0.479731525,36.88885422,26,2021-07-14,"CC",0.614085353119884
0.480991592,36.88092408,16,2021-07-14,"CC",0.426666666666667
0.493612374,36.8717313,18,2021-07-14,"CC",0.466072100839031
0.499592772,36.85476823,300,2021-06-18,"Cattle",3.84449826261561
0.499025815,36.84902968,150,2021-06-15,"Cattle",2.28595234375904
