"Longitude","Latitude","NDVI_05_09_05_24","EVI_05_09_05_24","NDVI_05_25_06_09","EVI_05_25_06_09","NDVI_06_10_06_25","EVI_06_10_06_25","NDVI_06_26_12_31","EVI_06_26_12_31"
36.84839888125,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8486683758357,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8489378704214,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8492073650071,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.8494768595929,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.8497463541786,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.8500158487643,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.85028534335,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.8505548379357,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.8508243325214,0.504898105707113,0.4432,0.2787,0.3546,0.2087,0.3113,0.18,0.2957,0.1604
36.8510938271071,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.8513633216929,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.8516328162786,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.8519023108643,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.85217180545,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.8524413000357,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.8527107946214,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
